"text","author_id","created_at","id"
"""Sacred Hands,"" a new online exhibition from @u_mspcoll, highlights the library's collection of early Jewish, Christian, and Islamic manuscripts. https://t.co/F7zfMgWB9m https://t.co/7TWdsdBrp0","89477148","2020-11-17T14:52:00.000Z","1328712496811749378"
"RT @GripTheRaven: Thanks to @CLIRHC we are in Year 3 of @MmwProject uncovering hidden manuscripts in our collections. But we're especially…","65746809","2020-07-15T00:32:52.000Z","1283197805054562308"
"@mkirschenbaum @ZacharyLesser @owilliamsdc @wynkenhimself You'll get a range of examples if you search @FolgerLibrary's Luna Bindings collection for ""onlay/s"" and ""inlay/s"". I would also recommend looking into bindings associated with Islamic manuscripts, which can feature multiple colors of leather—and quite early.","65746809","2020-06-27T20:36:01.000Z","1276977606928277505"
"Graduate student Shabbir Agha Abbas pores over documents from the Libraries' Muslim World Manuscript Project (@MmwProject) for a broader &amp; more vibrant understanding of Islamic studies: https://t.co/KeyecCWvcP https://t.co/I3DareWPGS","68998562","2020-05-06T17:30:08.000Z","1258086658802618369"
"RT @TranslatioBonn: Treasures of the week (VI): Islamic Heritage Project

A digital collection of hundreds of Islamic manuscripts, maps, an…","476223503","2020-04-14T13:00:45.000Z","1250046332804497408"
"RT @sameerahim: Why would you cut up a masterpiece? Christiane Gruber on the sordid practice of dividing up medieval Islamic manuscripts. P…","89477148","2019-10-17T12:31:32.000Z","1184809164637229057"
"Follow @MmwProject to see illustrations from centuries-old Islamic manuscripts, all of which will be digitized as part of the ongoing Muslim World Manuscript Project in collaboration w/ the @FreeLibrary, @upennlib &amp; others. Learn more: https://t.co/npCNIC8TF9 https://t.co/2QCbhOdUFr","68998562","2019-08-07T18:15:30.000Z","1159166188448100352"
"St. Andrews is carrying out a grant-funded project to fully catalog its collection of Arabic and Islamic manuscripts. https://t.co/qbFUfbGbyX https://t.co/8MkJWBPjMD","89477148","2018-11-11T14:22:22.000Z","1061625183151251456"
"RT @IUSWSEEL: Arabic students and faculty braved the storm today to get a tour of IU Lilly Library's collection of Islamic Manuscripts. htt…","3816626429","2018-05-31T20:30:41.000Z","1002286265532866561"
"RT @HarvardLibrary: The Islamic Heritage Project includes digitized copies of over 280 manuscripts, 275 printed texts, and 50 maps, totalin…","476223503","2018-01-27T17:20:42.000Z","957302357188112384"
"Princeton builds on largest collection of Islamic manuscripts in North America with Qur’āns from around the world: https://t.co/ZMyNNYAht1 https://t.co/hrqPsX0xPf","89477148","2017-06-15T17:41:41.000Z","875407979062976512"
"RT @IUSWSEEL: Workshop students enjoyed a tour of Islamic manuscripts at the @IULillyLibrary yesterday! #swseel2017 #swseel https://t.co/D7…","3816626429","2017-06-15T12:31:12.000Z","875329843063398400"
"@Ultimate2nn I think this is cool--University of Michigan completed a major project to digitize Islamic manuscripts: https://t.co/N1RlgyRWZJ","89477148","2016-12-20T02:22:16.000Z","811033951271784448"
"Congratulations to @u_mspcoll on the completion of an eight-year project to digitize its Islamic manuscripts: https://t.co/sWKuPXTQA2 https://t.co/Qg3OyZzL9h","89477148","2016-12-18T16:11:02.000Z","810517739009961984"
"We'll have another free tour of Islamic manuscripts on 11/18 -- stay tuned for details in the coming weeks. https://t.co/6LxJkuCVyx","3816626429","2015-10-06T20:40:56.000Z","651497390223044608"
"RT @bookhistoryX: .@Harvard Prof Ann Blair and Meredith Quinn filming a segment on Islamic Manuscripts at @HoughtonLib http://t.co/643dGKq4…","476223503","2014-10-28T17:34:00.000Z","527151308487557120"
"RT @AlexanderMKey: Arabic &amp; Persian Manuscripts Sep 2014 with @Islamic_MSS @abbasiprogram @StanfordLibs @StanfordCompLit @CMEMSStanford htt…","545432826","2014-05-22T22:53:37.000Z","469612070355623936"
