"created_at","id","author_id","referenced_tweets","text"
"2020-12-19T21:48:02.000Z","1340413608942063616","34720331","[{""type"":""retweeted"",""id"":""1340135691225878531""}]","RT @incunabula: This is fabulous! ""Mouse &amp; Manuscript"" is a new series of more than 50 lessons (23 already online) on codicology and palaeo…"
"2020-10-08T15:46:03.000Z","1314230586177921025","7857772","[{""type"":""retweeted"",""id"":""1314230453453426689""}]","RT @CornellAsiaLib: Ali Houissa, Curator of Middle Eastern and Islamica collections made a presentation on rare early Islamic manuscripts a…"
"2020-04-17T16:08:30.000Z","1251180746737418242","23824100","[{""type"":""retweeted"",""id"":""1251180018534952961""}]","RT @bookforum: Learn about Islamic book art through Indiana University's Lilly Library; French illuminated manuscripts through Chicago’s @N…"
"2020-03-18T17:00:03.000Z","1240322082845720576","26785044","[{""type"":""retweeted"",""id"":""1239974193078272003""}]","RT @MmwProject: Time on your hands? OPenn hosts 500+ Islamic manuscripts (so far), mostly unresearched, from @GripTheRaven @columbialib @up…"
"2020-03-15T10:55:01.000Z","1239143054608646146","34720331",,"Yale University began to systematically collect Islamic and Near Eastern manuscripts in the nineteenth century, establishing itself as one of the first academic institutions to do so. https://t.co/INjNOn2058"
"2019-07-03T17:01:15.000Z","1146463928861564928","16568227",,"Persian culture produced luxurious manuscripts that blended scientific &amp; mythological information about the natural world to inspire learning. The mountain goat in Islamic manuscripts was considered a protector—learn more in our ""Book of Beasts"" exhibition https://t.co/rRI4OZhfIb https://t.co/qakxXEIwpu"
"2019-06-04T18:35:00.000Z","1135978274629259264","52838996","[{""type"":""retweeted"",""id"":""1135922059119190017""}]","RT @MENALibAHS: #EidMubarak to everyone celebrating! As our celebration, allow me to use a famous miniature to share some of the strengths…"
"2018-01-27T17:10:17.000Z","957299735026692097","52838996",,"The Islamic Heritage Project includes digitized copies of over 280 manuscripts, 275 printed texts, and 50 maps, totaling over 156,000 pages. 🔗:https://t.co/WLe1iKgU65 https://t.co/Pcv7mcXUUU"
"2014-04-25T20:36:03.000Z","459792977742008320","26785044","[{""type"":""retweeted"",""id"":""459237654006345729""}]","RT @biblissima: Links to online #islamic #manuscripts collections @upennlib http://t.co/SZ700Sxycl"
"2014-03-25T20:07:38.000Z","448551803765145600","20710330",,"It could be said that the Morgan collection of Islamic manuscripts, in particular, was born of a love affair: http://t.co/q9ZyflQIIk"
